"Id","IsDeleted","AccountId","IsPrivate","Name","Description","StageName","StageSortOrder","Amount","Probability","ExpectedRevenue","TotalOpportunityQuantity","CloseDate","Type","NextStep","LeadSource","IsClosed","IsWon","ForecastCategory","ForecastCategoryName","CampaignId","HasOpportunityLineItem","Pricebook2Id","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastStageChangeDate","FiscalYear","FiscalQuarter","PrimaryPartnerAccountId","DeliveryInstallationStatus__c","TrackingNumber__c","OrderNumber__c","CurrentGenerators__c","MainCompetitors__c"
"006E0000005Qy0pIAC","0","001E000000M4pZKIAZ","0","University of AZ Portable Generators","","Closed Won","9","50000","100","50000","","2010-08-07 00:00:00","New Customer","","Public Relations","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","830150301360","768934","Mitsubishi","Honda, Mitsubishi"
"006E0000005Qy0qIAC","0","001E000000M4pZGIAZ","0","Pyramid Emergency Generators","","Prospecting","1","100000","10","10000","","2010-08-07 00:00:00","","","Phone Inquiry","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","","","",""
"006E0000005Qy0rIAC","0","001E000000M4pZJIAZ","0","Express Logistics Portable Truck Generators","","Value Proposition","4","80000","50","40000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","Fujitsu","Honda"
"006E0000005Qy0sIAC","0","001E000000M4pZBIAZ","0","GenePoint Lab Generators","","Id. Decision Makers","5","60000","60","36000","","2010-08-07 00:00:00","","","","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","Hawkpower, Fujitsu","Hawkpower"
"006E0000005Qy0tIAC","0","001E000000M4pZBIAZ","0","GenePoint SLA","","Closed Won","9","30000","100","30000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Partner","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","546512","",""
"006E0000005Qy0uIAC","0","001E000000M4pZLIAZ","0","United Oil Installations","","Negotiation/Review","8","270000","90","243000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","",""
"006E0000005Qy0vIAC","0","001E000000M4pZEIAZ","0","Edge Installation","","Closed Won","9","50000","100","50000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Word of mouth","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","","835178","",""
"006E0000005Qy0wIAC","0","001E000000M4pZEIAZ","0","Edge SLA","","Closed Won","9","60000","100","60000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Word of mouth","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","","847564","",""
"006E0000005Qy0xIAC","0","001E000000M4pZLIAZ","0","United Oil Installations","","Closed Won","9","270000","100","270000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Partner","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","427609","",""
"006E0000005Qy0yIAC","0","001E000000M4pZIIAZ","0","Grand Hotels Generator Installations","","Closed Won","9","350000","100","350000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","","763546","",""
"006E0000005Qy0zIAC","0","001E000000M4pZLIAZ","0","United Oil Refinery Generators","","Closed Won","9","915000","100","915000","","2010-08-07 00:00:00","New Customer","","Partner","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","830150301360","744343","John Deere","John Deere, Mitsubishi, Hawkpower"
"006E0000005Qy10IAC","0","001E000000M4pZKIAZ","0","University of AZ Installations","","Proposal/Price Quote","7","100000","75","75000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Employee Referral","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","",""
"006E0000005Qy11IAC","0","001E000000M4pZJIAZ","0","Express Logistics SLA","","Perception Analysis","6","120000","70","84000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","","",""
"006E0000005Qy12IAC","0","001E000000M4pZKIAZ","0","University of AZ SLA","","Closed Won","9","90000","100","90000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Public Relations","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","654985","",""
"006E0000005Qy13IAC","0","001E000000M4pZFIAZ","0","Burlington Textiles Weaving Plant Generator","","Closed Won","9","235000","100","235000","","2010-08-07 00:00:00","New Customer","","Web","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","830150301360","645612","John Deere","John Deere"
"006E0000005Qy14IAC","0","001E000000M4pZLIAZ","0","United Oil Installations","","Closed Won","9","235000","100","235000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","554821","",""
"006E0000005Qy15IAC","0","001E000000M4pZLIAZ","0","United Oil Emergency Generators","","Closed Won","9","440000","100","440000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","830150301420","847324","Fujitsu","Honda, Mitsubishi"
"006E0000005Qy16IAC","0","001E000000M4pZIIAZ","0","Grand Hotels SLA","","Closed Won","9","90000","100","90000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","254676","",""
"006E0000005Qy17IAC","0","001E000000M4pZLIAZ","0","United Oil Standby Generators","","Closed Won","9","120000","100","120000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","External Referral","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","830150301360","525476","John Deere","John Deere, Mitsubishi, Hawkpower"
"006E0000005Qy18IAC","0","001E000000M4pZIIAZ","0","Grand Hotels Emergency Generators","","Closed Won","9","210000","100","210000","","2010-08-07 00:00:00","New Customer","","External Referral","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","830150301360","387624","Fujitsu","Caterpillar"
"006E0000005Qy19IAC","0","001E000000M4pZLIAZ","0","United Oil Plant Standby Generators","","Needs Analysis","3","675000","20","135000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","","","Caterpillar","Caterpillar, Mitsubishi, Hawkpower"
"006E0000005Qy1AIAS","0","001E000000M4pZEIAZ","0","Edge Emergency Generator","","Id. Decision Makers","5","100000","60","60000","1","2010-08-07 00:00:00","Existing Customer - Replacement","","","0","0","Pipeline","Pipeline","000000000000000AAA","1","01sE0000000K9otIAC","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2013-01-02 21:54:49","005E0000001h3DhIAI","2013-01-02 21:54:49","","","2010","3","","","","","","John Deere, Mitsubishi, Hawkpower"
