"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConstraintRuleId__c","ActionCriteria__c","ActionDisposition__c","ActionIntent__c","ActionType__c","AutoExclude__c","AutoInclude__c","IncludeMatchRule__c","IncludeMaxProducts__c","IncludeMinProducts__c","MatchInAsset__c","MatchInCartOptions__c","MatchInOptions__c","MatchInPrimaryLines__c","Message__c","ProductCategory__c","ProductFamily__c","ProductGroupId__c","ProductId__c","ProductScope__c","Sequence__c"
"a0GE00000045YUKMA2","0","1500kW","2012-09-12 19:32:54","005E0000001em2EIAQ","2012-09-12 19:32:54","005E0000001em2EIAQ","2012-09-12 19:32:54","a0IE0000002HZdlMAG","","Error","Auto Include","Inclusion","0","0","","","","0","0","0","1","{0} auto adds {1}","","","","01tE0000001IQYUIA4","Product",""
"a0GE00000045zzDMAQ","0","Disable 750","2012-09-18 17:17:54","005E0000001em2EIAQ","2012-09-18 17:17:54","005E0000001em2EIAQ","2012-09-18 17:17:54","a0IE0000002Hol4MAC","","Error","Disable Selection","Exclusion","0","0","","","","0","0","1","0","{0} disables {1}","","","","01tE0000001IQYXIA4","Product","1"
"a0GE0000004606AMAQ","0","Medium Installation","2012-09-18 19:27:23","005E0000001em2EIAQ","2012-09-18 19:27:23","005E0000001em2EIAQ","2012-09-18 19:27:23","a0IE0000002Hol4MAC","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} auto includes {1}","","","","01tE0000001IQYdIAO","Product",""
"a0GE000000462UFMAY","0","Select Propane Family","2012-09-19 23:41:53","005E0000001em2EIAQ","2012-09-19 23:59:56","005E0000001em2EIAQ","2012-09-19 23:59:56","a0IE0000002GtByMAK","","Error","Show Message","Exclusion","0","0","Include All","","","0","0","0","1","{0} requires {1}","","","","","Action Criteria",""
"a0GE00000046QAVMA2","0","Installation: Industrial - High","2012-09-25 00:22:47","005E0000001em2EIAQ","2012-12-18 02:17:45","005E0000001em2EIAQ","2012-12-18 02:17:45","a0IE0000002IBhlMAG","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} can have only one of {1}","","","","01tE0000001IQYPIA4","Product",""
"a0GE00000046SpqMAE","0","Select One Propane","2012-09-25 21:48:50","005E0000001em2EIAQ","2012-09-25 23:40:42","005E0000001em2EIAQ","2012-09-25 23:40:42","a0IE0000002IE2dMAG","","Error","Disable Selection","Exclusion","0","0","Exclude After One","","","0","0","0","1","You can have only one of {1}","","","a0mE0000000UJQ8IAO","","Product Group","1"
"a0GE000000477wwMAA","0","Install","2012-10-01 16:53:49","005E0000001em2EIAQ","2012-10-01 16:53:49","005E0000001em2EIAQ","2012-10-01 16:53:49","a0IE0000002IXUlMAO","","Warning","Check on Finalization","Inclusion","0","0","","","","0","0","0","1","{0} must have [1}","","Installation","","","Product Family","1"
"a0GE00000047vNqMAI","0","wwwer","2012-10-05 19:48:43","005E0000001em2EIAQ","2012-10-05 19:48:43","005E0000001em2EIAQ","2012-10-05 19:48:43","a0IE0000002Gnt7MAC","","Error","Show Message","Validation","0","0","","","","0","0","0","1","werwer","","","","01tE0000001bnAtIAI","Product",""
"a0GE0000004sSLPMA2","0","Exclude Installation: Industrial - High","2012-10-10 18:06:42","005E0000001em2EIAQ","2012-11-07 21:42:02","005E0000001em2EIAQ","2012-11-07 21:42:02","a0IE0000002IBhlMAG","","Error","Prompt","Exclusion","0","0","Exclude After Max","3","","0","0","1","0","{0} can have only one of {1}","","","a0mE0000000UJQ8IAO","","Product Group",""
"a0GE0000004vDqeMAE","0","Storage Center SW Bundle, Base License","2012-11-11 06:06:16","005E0000001em2EIAQ","2012-11-12 04:19:59","005E0000001em2EIAQ","2012-11-12 04:19:59","a0IE00000049lMeMAI","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001bpUlIAI","Product","1"
"a0GE0000004vJcEMAU","0","Dell Compellent Enterprise System Licensing","2012-11-12 22:17:04","005E0000001em2EIAQ","2012-11-12 22:57:55","005E0000001em2EIAQ","2012-11-12 22:57:55","a0IE00000049lMeMAI","","Error","Show Message","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001bpUqIAI","Product","1"
"a0GE0000005LnOzMAK","0","Compellent SC200 Enclosure, 3.5"" 12-Bay","2012-11-21 00:25:00","005E0000001em2EIAQ","2012-11-21 00:25:14","005E0000001em2EIAQ","2012-11-21 00:25:14","a0IE0000004AtIqMAK","","Warning","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} auto adds {1}","","","","01tE0000001bnB3IAI","Product",""
"a0GE0000005LnQbMAK","0","SW, Data Progression Base License","2012-11-21 00:38:42","005E0000001em2EIAQ","2012-11-21 00:38:42","005E0000001em2EIAQ","2012-11-21 00:38:42","a0IE0000004AtK7MAK","","Warning","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001bpUvIAI","Product","1"
"a0GE0000005U7UBMA0","0","SC8000, 64GB Memory","2012-11-26 22:07:48","005E0000001em2EIAQ","2012-11-26 22:07:48","005E0000001em2EIAQ","2012-11-26 22:07:48","a0IE0000004AtK7MAK","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001bn9qIAA","Product","2"
"a0GE0000005WIdrMAG","0","Exclude Low Profile","2012-12-08 19:52:04","005E0000001em2EIAQ","2012-12-08 19:52:14","005E0000001em2EIAQ","2012-12-08 19:52:14","a0IE0000004AtK7MAK","","Error","Disable Selection","Exclusion","0","0","","","","0","0","1","0","{0} disables {1}","","","","01tE0000001bn9gIAA","Product",""
"a0GE0000005WolJMAS","0","prompts for installation","2012-12-14 18:37:34","005E0000001em2EIAQ","2013-01-06 05:04:07","005E0000001em2EIAQ","2013-01-06 05:04:07","a0IE00000059jnyMAA","","Warning","Prompt","Inclusion","0","0","Include Min/Max","","2","0","0","0","1","{0} requires at least two of {1}","","Installation","","","Product Family","1"
"a0GE0000005WtEYMA0","0","Include 2000kW","2012-12-19 01:39:37","005E0000001em2EIAQ","2012-12-19 01:42:19","005E0000001em2EIAQ","2012-12-19 01:42:19","a0IE00000059ncyMAA","","Error","Auto Include","Inclusion","0","0","","","","1","0","0","1","{0} requires {1}","","","","01tE0000001IQYcIAO","Product","1"
"a0GE0000005XAWjMAO","0","Include install","2012-12-21 19:16:03","005E0000001em2EIAQ","2012-12-21 19:16:03","005E0000001em2EIAQ","2012-12-21 19:16:03","a0IE00000059vanMAA","","Error","Prompt","Inclusion","0","0","","","","0","0","1","1","{0} requires {1}","","","","01tE0000001IQYbIAO","Product","1"
"a0GE0000006E6aGMAS","0","Prompt Installation","2013-01-06 05:06:58","005E0000001em2EIAQ","2013-01-06 05:06:58","005E0000001em2EIAQ","2013-01-06 05:06:59","a0IE0000005AA46MAG","","Error","Prompt","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","Installation","","","Product Family","1"
"a0GE0000006E7UIMA0","0","Offer Tablet","2013-01-07 08:17:28","005E0000001em2EIAQ","2013-01-09 01:23:24","005E0000001em2EIAQ","2013-01-09 01:23:24","a0IE0000005AAbyMAG","","Error","Show Message","Inclusion","0","0","","","","0","0","0","1","{1} comes with {0} with a discount","","","","01tE0000001cQ3hIAE","Product","1"
"a0GE0000006EkzlMAC","0","Dell Inspiron 15R","2013-01-17 01:19:25","005E0000001em2EIAQ","2013-02-01 21:20:34","005E0000001em2EIAQ","2013-02-01 21:20:34","a0IE0000005ATJ8MAO","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001cQ41IAE","Product","1"
"a0GE0000006F9QJMA0","0","Slim Case Recommended","2013-01-23 23:12:22","005E0000001em2EIAQ","2013-01-23 23:12:22","005E0000001em2EIAQ","2013-01-23 23:12:22","a0IE0000005B1gQMAS","","Warning","Show Message","Recommendation","0","0","","","","0","0","0","1","{0} recommends {1}","","","","01tE0000001clvwIAA","Product",""
"a0GE0000006F9eOMAS","0","Add Memory","2013-01-24 01:51:31","005E0000001em2EIAQ","2013-01-24 01:51:31","005E0000001em2EIAQ","2013-01-24 01:51:32","a0IE0000005B20AMAS","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} adds {1}","","","","01tE0000001bn9lIAA","Product","1"
"a0GE0000006F9hJMAS","0","Tablet is offered","2013-01-24 01:26:30","005E0000001h3DhIAI","2013-01-24 01:26:30","005E0000001h3DhIAI","2013-01-24 01:26:31","a0IE0000005B1gQMAS","","Warning","Prompt","Recommendation","0","0","","","","0","0","0","1","","","","","01tE0000001cQ3hIAE","Product",""
"a0GE0000006F9nFMAS","0","Printer is recommended","2013-01-24 03:14:20","005E0000001h3DhIAI","2013-01-24 03:14:20","005E0000001h3DhIAI","2013-01-24 03:14:20","a0IE0000005B1gQMAS","","Warning","Show Message","Recommendation","0","0","","","","0","0","0","1","","","","","01tE0000001cfzsIAA","Product",""
"a0GE0000006FSLxMAO","0","Dell Latitude 10 Tablet","2013-01-29 19:40:04","005E0000001em2EIAQ","2013-02-28 07:18:03","005E0000001hSphIAE","2013-02-28 07:18:03","a0IE0000005C843MAC","","Error","Prompt","Inclusion","0","0","","","","0","0","0","1","{0} requires {1}","","","a0mE0000000W8WOIA0","","Product Group","1"
"a0GE0000006FgJdMAK","0","SC8000, 16GB Memory","2013-02-02 08:02:59","005E0000001em2EIAQ","2013-02-02 08:26:25","005E0000001em2EIAQ","2013-02-02 08:26:25","a0IE0000005CS6SMAW","{   ""sObjectName"" : ""LineItem__c"",   ""sObjectLabel"" : ""Line Item"",   ""filter"" : {     ""predicates"" : [ {       ""RowNum"" : 1,       ""FieldValue"" : ""20"",       ""FieldType"" : ""DOUBLE"",       ""FieldName"" : ""Quantity__c"",       ""FieldLabel"" : ""Quantity"",       ""CompOper"" : ""greater than"",       ""BoolOper"" : ""AND""     } ],     ""condExpr"" : ""1"",     ""childFilter"" : null   } }","Error","Show Message","Validation","0","0","","","","0","0","1","0","{0} cannot exceed quantity 20","","","","","Action Criteria",""
"a0GE0000006FiRUMA0","0","Select Hard Drive","2013-02-04 00:30:30","005E0000001em2EIAQ","2013-02-04 00:30:30","005E0000001em2EIAQ","2013-02-04 00:30:30","a0IE0000005CZG0MAO","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} selects {1}","","","","01tE0000001bnAZIAY","Product","1"
"a0GE0000006GHjmMAG","0","16 GB","2013-02-08 11:53:39","005E0000001em2EIAQ","2013-02-08 11:53:56","005E0000001em2EIAQ","2013-02-08 11:53:56","a0IE0000006Uv4CMAS","","Error","Auto Include","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001bn9lIAA","Product",""
"a0GE0000006H5UIMA0","0","select product","2013-02-21 01:23:07","005E0000001em2EIAQ","2013-02-21 01:23:07","005E0000001em2EIAQ","2013-02-21 01:23:07","a0IE0000006W6ZxMAK","","Error","Prompt","Inclusion","0","0","","","","0","0","0","1","{0} requires {1}","","","","01tE0000001bnAtIAI","Product","1"
"a0GE0000006H9RGMA0","0","asas","2013-02-22 00:10:09","005E0000001em2EIAQ","2013-02-22 00:10:42","005E0000001em2EIAQ","2013-02-22 00:10:42","a0IE00000059jnyMAA","{   ""sObjectName"" : ""LineItem__c"",   ""sObjectLabel"" : ""Line Item"",   ""filter"" : {     ""predicates"" : [ {       ""RowNum"" : 1,       ""FieldValue"" : ""10"",       ""FieldType"" : ""DOUBLE"",       ""FieldName"" : ""Quantity__c"",       ""FieldLabel"" : ""Quantity"",       ""CompOper"" : ""less than"",       ""BoolOper"" : ""AND""     } ],     ""condExpr"" : ""1"",     ""childFilter"" : null   } }","Warning","Show Message","Validation","0","0","","","","0","0","1","0","{0} requires {1}","","","","","Action Criteria","1"
"a0GE0000006H9pSMAS","0","Select 15R","2013-02-22 03:10:37","005E0000001em2EIAQ","2013-02-22 03:10:37","005E0000001em2EIAQ","2013-02-22 03:10:37","a0IE0000006WCbCMAW","","Error","Prompt","Inclusion","0","0","","","","0","0","1","0","{0} requires {1}","","","","01tE0000001cQ41IAE","Product","1"
"a0GE0000006HfddMAC","0","Excluded Products","2013-02-23 19:30:52","005E0000001em2EIAQ","2013-02-23 19:33:56","005E0000001em2EIAQ","2013-02-23 19:33:56","a0IE0000006WKxMMAW","","Warning","Hide Product","Exclusion","0","0","","","","0","0","0","1","Following products are not available","","","","01tE0000001bn9MIAQ","Product","1"
"a0GE0000006I9pwMAC","0","Include Option 17R","2013-02-23 21:11:07","005E0000001em2EIAQ","2013-02-24 08:55:40","005E0000001em2EIAQ","2013-02-24 08:55:40","a0IE0000006WL8yMAG","","Error","Prompt","Replacement","0","0","","","","0","0","0","1","Since you are including {0}, for a better price you could choose  {1}","","","","01tE0000001cQ46IAE","Product","1"
"a0GE00000079KSwMAM","0","select 17R","2013-02-26 21:53:10","005E0000001em2EIAQ","2013-02-28 12:10:20","005E0000001em2EIAQ","2013-02-28 12:10:20","a0IE0000006WlvLMAS","","Error","Prompt","Replacement","0","0","","","","0","0","0","1","{0} is obsolete, please select 17R","","","","01tE0000001cQ46IAE","Product",""
"a0GE00000079PaNMAU","0","Dell Latitude E6420 XFR","2013-02-27 22:37:09","005E0000001em2EIAQ","2013-02-27 22:37:09","005E0000001em2EIAQ","2013-02-27 22:37:09","a0IE0000006WrXVMA0","","Error","Show Message","Inclusion","0","0","","","","0","0","0","1","{0} requires {1}","","","","01tE0000001cQ3mIAE","Product",""
"a0GE00000079PbTMAU","0","Dell Latitude 10 Tablet","2013-02-27 22:38:06","005E0000001em2EIAQ","2013-02-27 22:38:06","005E0000001em2EIAQ","2013-02-27 22:38:06","a0IE0000006WrXVMA0","","Warning","Show Message","Inclusion","0","0","","","","0","0","0","1","{0} requires {1}","","","","01tE0000001cQ3hIAE","Product",""
